"Academic Institutions (Category of AI wise) As on July 31, 2020",,,
AI Code,AI Name,State,Type/Category of Academic Institution (AI)
30093,"Preston College, Gwalior",Madhya Pradesh,Other institutions -PGDM Institutes
30110,"Sapient Institute of Management Studies, Indore, MP",Madhya Pradesh,Other institutions -PGDM Institutes
30126,SKS Institute of business Studies,Madhya Pradesh,Other institutions -PGDM Institutes
30086,"Veena Vadini College of Management, Gwalior",Madhya Pradesh,Other institutions -PGDM Institutes
30074,"Aditya Institute of Management Studies & Research, Mumbai",Maharashtra,Other institutions -PGDM Institutes
30023,"ASM's Institute of Business Management & Research (PGDM), Pune",Maharashtra,Other institutions -PGDM Institutes
30146,Atharva Institute Of Management Studies,Maharashtra,Other institutions -PGDM Institutes
11070,Audyogik Shikshan mandal institute of Business management and research,Maharashtra,Other institutions -PGDM Institutes
12174,Bharati Vidyapeeth's Institute of Management Studies & Research,Maharashtra,Other institutions -PGDM Institutes
12072,"Bunts Sangha'S Uma Krishna Shetty Institute of Management Studies andResearch",Maharashtra,Other institutions -PGDM Institutes
12101,"Christ Institute of Management, Lavasa",Maharashtra,Other institutions -PGDM Institutes
30123,D. Y. Patil Institute of Master of Computer Applications And Management,Maharashtra,Other institutions -PGDM Institutes
12098,D.E.Society's Institute of Management Development and Research(IMDR),Maharashtra,Other institutions -PGDM Institutes
11004,"Dr.V.N.Bedekar Institute of Management Studies, Thane",Maharashtra,Other institutions -PGDM Institutes
30152,G N V S Institute of Management,Maharashtra,Other institutions -PGDM Institutes
11331,Goa Institute of Management,Maharashtra,Other institutions -PGDM Institutes
11080,Gurunanak Institute of Management Studies,Maharashtra,Other institutions -PGDM Institutes
30121,Humera Khan Institute of Management Studies & Research,Maharashtra,Other institutions -PGDM Institutes
30015,Indian Institute of Materials Management (IIMM),Maharashtra,Other institutions -PGDM Institutes
12115,Indira Institute of Management,Maharashtra,Other institutions -PGDM Institutes
11083,Indira School of Business Studies,Maharashtra,Other institutions -PGDM Institutes
11086,"Institute for Technology and Management, Mumbai",Maharashtra,Other institutions -PGDM Institutes
30113,Institute of Management & Computer Studies(IMCOST),Maharashtra,Other institutions -PGDM Institutes
30109,"Institute of Management Technology, Nagpur",Maharashtra,Other institutions -PGDM Institutes
11088,"International Institute of Management and Human Resource Development(W)",Maharashtra,Other institutions -PGDM Institutes
11090,International Institute of Management Studies,Maharashtra,Other institutions -PGDM Institutes
11091,International School of Business and Media,Maharashtra,Other institutions -PGDM Institutes
30024,"International School of Management & Research , Pune",Maharashtra,Other institutions -PGDM Institutes
30150,Isdi School of Design And Innovation,Maharashtra,Other institutions -PGDM Institutes
30151,Isme School of Management And Entrepreneurship,Maharashtra,Other institutions -PGDM Institutes
30065,"Maratha Mandir’s Babasaheb Gawde Institute of ManagementStudies,Mumbai",Maharashtra,Other institutions -PGDM Institutes
11101,"MET's Institute of Computer Science, Bandra",Maharashtra,Other institutions -PGDM Institutes
11097,MILE-Management Institute For Leadership and Excellence,Maharashtra,Other institutions -PGDM Institutes
11072,Mitcon Institute Of Management,Maharashtra,Other institutions -PGDM Institutes
11108,N.L. Dalmia Institute of Management Studies & Research,Maharashtra,Other institutions -PGDM Institutes
30099,National Institute of Securities Markets,Maharashtra,Other institutions -PGDM Institutes
12082,"National Insurance Academy, Pune",Maharashtra,Other institutions -PGDM Institutes
11109,Oriental School of Business,Maharashtra,Other institutions -PGDM Institutes
30012,"Prin. L. N. Welingkar Institute of Management Development and Research,Mumbai",Maharashtra,Other institutions -PGDM Institutes
11120,Saibalaji International Intstitute of Management Sciences,Maharashtra,Other institutions -PGDM Institutes
30114,Sasmira's Institute of Management Studies & Research,Maharashtra,Other institutions -PGDM Institutes
30017,SMT.JAYSHREE SHARADCHANDRA KOTHARI BUSINESS SCHOOL,Maharashtra,Other institutions -PGDM Institutes
30018,ST. FRANCIS INSTITUTE OF MANAGEMENT AND RESEARCH,Maharashtra,Other institutions -PGDM Institutes
11131,Suryadatta Institute of Management and Mass Communication,Maharashtra,Other institutions -PGDM Institutes
30119,Terna Public Charitable Trust's Terna Engineering College,Maharashtra,Other institutions -PGDM Institutes
30120,Thakur Institute of Management Studies and Research,Maharashtra,Other institutions -PGDM Institutes
30040,Vivekanand Education Society Institute of Management,Maharashtra,Other institutions -PGDM Institutes
11137,Affinity Business School,Odisha,Other institutions -PGDM Institutes
11138,Asian School of Business Management,Odisha,Other institutions -PGDM Institutes
30029,Astral Institute of Management Studies,Odisha,Other institutions -PGDM Institutes
12083,"Bhavan'S Centre For Communication and Management, Kharvelanagar",Odisha,Other institutions -PGDM Institutes
12087,Innovation-The Business School,Odisha,Other institutions -PGDM Institutes
11038,Institute of Management and Information Science,Odisha,Other institutions -PGDM Institutes
11145,Krupajal Business School,Odisha,Other institutions -PGDM Institutes
30034,"Regional College of Management, Bhubaneshwar",Odisha,Other institutions -PGDM Institutes
30060,Sophitorium Management College,Odisha,Other institutions -PGDM Institutes
12167,Aryans Business School,Punjab,Other institutions -PGDM Institutes
11010,"Indian Institute of Management, Amritsar",Punjab,Other institutions -PGDM Institutes
